Original String,Replaced String,Count
"Neukirch i. E., Romonshorn","Neukirch i. E., Romanshorn",      69
Total,69
"Kartlianse-lttingen (Frauenfeld)","Karthause-Ittingen (Frauenfeld)",       2
Total,2
"Kiistris (Hanz)","Kästris (Ilanz)",       3
Total,3
"Kefihon","Kefikon",       6
Total,6
"ßezirksarzt","Bezirksarzt",       4
"ßezirksarzt","Bezirksarzt",       1
"ßezirksarzt","Bezirksarzt",       1
Total,6
"Wirtseh.","Wirtsch.",       1
"Wirtseh.","Wirtsch.",      53
"Wirtseh.","Wirtsch.",     114
"Wirtseh.","Wirtsch.",      31
"Wirtseh.","Wirtsch.",      53
"Wirtseh.","Wirtsch.",       4
"Wirtseh.","Wirtsch.",      30
"Wirtseh.","Wirtsch.",      26
"Wirtseh.","Wirtsch.",      33
"Wirtseh.","Wirtsch.",      61
"Wirtseh.","Wirtsch.",      12
"Wirtseh.","Wirtsch.",      20
Total,438
"Acschlen, Netz Gunten","Aeschlen, Netz Gunten",       3
Total,3
"Aclienberg (Zurzach)","Achenberg (Zurzach)",       1
Total,1
"Acliseten (Adelboden)","Achseten (Adelboden)",       2
Total,2
"Acquacalda (Oiivone)","Acquacalda (Olivone)",       1
Total,1
"Acttenschwil (Sins)","Aettenschwil (Sins)",      10
Total,10
"Acugst (Affoltern a. A.)","Aeugst (Affoltern a. A.)",       1
Total,1
"Acugsterthal (Affoltern a. A.)","Aeugsterthal (Affoltern a. A.)",       1
Total,1
